Date,Close,MonthlyReturn
2010-01-01,5200,2.1
2010-02-01,4900,-5.7
2010-03-01,5100,4.0
2010-04-01,5300,3.9
2010-05-01,5250,-0.9
2010-06-01,5400,2.8
2010-07-01,5600,3.7
2010-08-01,5550,-0.8
2010-09-01,5800,4.5
2010-10-01,5950,2.5
2010-11-01,5700,-4.2
2010-12-01,5850,2.6
2011-01-01,5600,-4.3
2011-02-01,5400,-3.5
2011-03-01,5750,6.5
2011-04-01,5850,1.7
2011-05-01,5700,-2.5
2011-06-01,5600,-1.7
2011-07-01,5500,-1.8
2011-08-01,5100,-7.2
2011-09-01,5000,-1.9
2011-10-01,5200,4.0
2011-11-01,4900,-5.7
2011-12-01,4700,-4.0
2020-01-01,12000,1.0
2020-02-01,11600,-3.3
2020-03-01,8600,-25.8
2020-04-01,9500,10.4
2020-05-01,9800,3.1
2020-06-01,10500,7.1
2020-07-01,11100,5.7
2020-08-01,11500,3.6
2020-09-01,11200,-2.6
2020-10-01,11700,4.4
2020-11-01,12900,10.2
2020-12-01,14000,8.5
